,Id_0,Id,Temporada,Ambito,Codreg,Codprov,Codcom,Numero,Nombre_inc,Utm_este,Utm_norte,Inicio_c,Combus_i,Causa_gene,Causa_espe,Pino_0010,Pino_11_17,Pino_18,Eucalipto,Otras_plan,Total_plan,Arbolado,Matorral,Pastizal,Total_veg,Agricola,Desechos,Total_otra,Sup_t_a,geometry
0,1,1.0,2016.0,CONAF,11.0,113.0,11301.0,1.0,ISLA LAGO COCHRANE,240904.0,4763323.0,OTROS,MATORRAL,Faenas agricolas y pecuarias,1.2.4. QUEMA ILEGAL CON OTROS FINES AGRICOLAS (QUEMA SANITARIA OTRAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42,0.0,4.42,0.0,0.0,0.0,4.42,MULTIPOINT (-2523095.4329164815 -3657761.071214851)
1,2,2.0,2016.0,CONAF,11.0,111.0,11101.0,3.0,LA CASCADA,250325.0,4923756.0,CAMINO PRINCIPAL,OTROS,Faenas agricolas y pecuarias,1.2.4. QUEMA ILEGAL CON OTROS FINES AGRICOLAS (QUEMA SANITARIA OTRAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.49,0.0,4.41,4.41,4.9,MULTIPOINT (-2620862.006056467 -3799812.778613122)
2,3,3.0,2016.0,CONAF,11.0,112.0,11201.0,4.0,PANGAL BAJO,211537.0,4967240.0,CAMINO SECUNDARIO,MATORRAL,Incendios de causa desconocida,4.1.2. NO DETERMINADA (LA CAUSA NO ES INVESTIGADA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0932,0.0,0.0932,0.0,0.0,0.0,0.0932,MULTIPOINT (-2609024.419412204 -3861152.925118109)
3,4,4.0,2016.0,CONAF,11.0,111.0,11101.0,5.0,PDI TEJAS VERDE,262789.0,4948720.0,CAMINO PRINCIPAL,PASTIZAL,Incendios de causa desconocida,4.1.2. NO DETERMINADA (LA CAUSA NO ES INVESTIGADA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.025,MULTIPOINT (-2646098.0433001323 -3815966.7750448324)
4,5,5.0,2016.0,CONAF,11.0,111.0,11101.0,9.0,SAN ANDRES,265633.0,4938960.0,CAMINO PRINCIPAL,DESECHOS,Faenas forestales,1.1.5. QUEMA LEGAL DE HABILITACION DE TERRENO FORESTAL (QUEMA PARA FORESTACION),0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,1.5,1.5,2.1,MULTIPOINT (-2643350.3082287274 -3805395.9223809987)
5,6,6.0,2016.0,CONAF,11.0,113.0,11303.0,10.0,VAGABUNDO,182125.0,4703488.0,ORILLA CURSO DE AGUA,MATORRAL,Otras actividades,1.10.4. HABITO DE FUMAR,0.0,0.0,0.0,0.0,0.0,0.0,33.7,0.0,58.7,92.4,0.0,0.0,0.0,92.4,MULTIPOINT (-2435947.6298158052 -3636115.4016771093)
6,7,7.0,2016.0,CONAF,11.0,112.0,11202.0,11.0,PLAYA NEGRA - VALLE PALENA NORTE,230859.0,5155474.0,CAMINO PRINCIPAL,DESECHOS,Faenas forestales,1.1.5. QUEMA LEGAL DE HABILITACION DE TERRENO FORESTAL (QUEMA PARA FORESTACION),0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,3.0,3.0,3.3,MULTIPOINT (-2728880.9488419984 -4024643.4400353413)
7,8,8.0,2016.0,CONAF,11.0,114.0,11402.0,12.0,DESAGUE LAPARENT,241885.0,4877098.0,CAMINO SECUNDARIO,MATORRAL,Faenas agricolas y pecuarias,1.2.4. QUEMA ILEGAL CON OTROS FINES AGRICOLAS (QUEMA SANITARIA OTRAS),0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.1,0.0,0.0,0.0,0.1,MULTIPOINT (-2587328.127066612 -3761543.6195725594)
8,9,9.0,2016.0,CONAF,11.0,112.0,11201.0,14.0,CRUCE VALLE VERDE,223055.0,4966171.0,CAMINO SECUNDARIO,MATORRAL,Incendios de causa desconocida,4.1.2. NO DETERMINADA (LA CAUSA NO ES INVESTIGADA),0.0,0.0,0.0,0.0,0.0,0.0,0.0189,0.0754,0.0,0.0943,0.0,0.0,0.0,0.0943,MULTIPOINT (-2619044.321934303 -3853863.4334593937)
9,10,10.0,2016.0,CONAF,11.0,112.0,11202.0,15.0,ISLA TOTO,163943.0,5090932.0,CASA O REFUGIO,MATORRAL,Actividades recreativas,1.4.6. FUEGOS ARTIFICIALES,0.0,0.0,0.0,0.0,0.0,0.0,4.75,4.75,0.0,9.5,0.0,0.0,0.0,9.5,MULTIPOINT (-2632317.9062183835 -4000913.6286161933)
