ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_REGION_ESTABLE,DS_PROVINCIA_ESTABLE,DS_COMUNA_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,PRIMERA_PRIORIDAD ,SEGUNDA_PRIORIDAD ,TERCERA_PRIORIDAD ,NO_PRIORIZADO_EN_VULNERABILIDAD ,SIN_INFORMACION ,TOTAL_MATRICULA_MEDIA_2021 ,IVE_SINAE_MEDIA
1,9,LICEO POLITECNICO ARICA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,379,13,19,10,18,439,94
4,3,LICEO OCTAVIO PALMA PEREZ,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,720,4,96,150,1,971,84
5,1,JOVINA NARANJO FERNANDEZ,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,339,2,46,79,1,467,83
7,8,L. POLI. ANTONIO VARAS DE LA BARRA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,964,37,49,67,10,1.127,93
8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,245,13,21,29,16,324,86
15,9,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,83,3,14,25,1,126,79
25,6,COLEGIO CENTENARIO DE ARICA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,154,2,13,22,1,192,88
32,9,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Rural,120,1,12,5,2,140,95
45,0,COLEGIO ITALIANO SANTA ANA,Región de Arica y Parinacota,Arica,Arica,Particular Subvencionado,Urbano,196,1,36,56,2,291,80
50,7,COLEGIO ADVENTISTA DE ARICA,Región de Arica y Parinacota,Arica,Arica,Particular Subvencionado,Urbano,162,3,18,34,,217,84
52,3,LICEO BICENTENARIO DOMINGO SANTA MARIA,Región de Arica y Parinacota,Arica,Arica,Particular Subvencionado,Urbano,1.312,13,149,236,32,1.742,85
56,6,COLEGIO SAN MARCOS DE ARICA,Región de Arica y Parinacota,Arica,Arica,Particular Subvencionado,Urbano,105,6,24,183,2,320,42
60,4,COLEGIO ALEMAN DE ARICA,Región de Arica y Parinacota,Arica,Arica,Particular Subvencionado,Urbano,157,3,31,102,2,295,65
67,1,ABRAHAM LINCOLN SCHOOL,Región de Arica y Parinacota,Arica,Arica,Particular Subvencionado,Urbano,68,,19,84,,171,51
72,8,LICEO VALLE DE CODPA,Región de Arica y Parinacota,Arica,Camarones,Servicio Local de Educación(SLE),Rural,20,1,,1,4,26,81
78,7,LICEO GRANADEROS,Región de Arica y Parinacota,Parinacota,Putre,Servicio Local de Educación(SLE),Rural,61,6,4,3,,74,96
97,3,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,Región de Tarapacá,Iquique,Iquique,Corporación Municipal,Urbano,251,22,24,41,20,358,83
103,1,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,Región de Tarapacá,Iquique,Iquique,Corporación Municipal,Urbano,121,16,9,22,,168,87
106,6,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,Región de Tarapacá,Iquique,Iquique,Administración Delegada (C. P. 3166),Urbano,341,14,33,53,28,469,83
107,4,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,Región de Tarapacá,Iquique,Iquique,Corporación Municipal,Urbano,196,25,30,69,38,358,70
108,2,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,Región de Tarapacá,Iquique,Iquique,Corporación Municipal,Urbano,363,17,43,67,38,528,80
109,0,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,Región de Tarapacá,Iquique,Iquique,Corporación Municipal,Urbano,287,24,34,47,23,415,83
110,4,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,Región de Tarapacá,Iquique,Iquique,Corporación Municipal,Urbano,175,9,21,45,19,269,76
124,4,LICEO LUIS CRUZ MARTINEZ,Región de Tarapacá,Iquique,Iquique,Corporación Municipal,Urbano,930,46,87,111,22,1.196,89
125,2,ESCUELA PROFESOR MANUEL CASTRO RAMOS,Región de Tarapacá,Iquique,Iquique,Corporación Municipal,Urbano,156,20,15,45,11,247,77
127,9,LICEO MARIA AUXILIADORA,Región de Tarapacá,Iquique,Iquique,Particular Subvencionado,Urbano,147,,30,127,,304,58
129,5,LICEO SUPERIOR GABRIELA MISTRAL,Región de Tarapacá,Iquique,Iquique,Particular Subvencionado,Urbano,46,16,4,17,5,88,75
130,9,COLEGIO NORTH COLLEGE,Región de Tarapacá,Iquique,Iquique,Particular Subvencionado,Urbano,65,2,12,34,,113,70
131,7,COLEGIO ESCASCE,Región de Tarapacá,Iquique,Iquique,Particular Subvencionado,Urbano,80,,14,13,12,119,79
132,5,COLEGIO BAJO MOLLE,Región de Tarapacá,Iquique,Iquique,Particular Subvencionado,Urbano,227,1,69,440,4,741,40
133,3,COLEGIO ADVENTISTA DE IQUIQUE,Región de Tarapacá,Iquique,Iquique,Particular Subvencionado,Urbano,114,5,25,52,1,197,73
134,1,LICEO ATENEA,Región de Tarapacá,Iquique,Iquique,Particular Subvencionado,Urbano,67,2,12,21,3,105,77
144,9,COLEGIO IQUIQUE YOUNG SCHOOL,Región de Tarapacá,Iquique,Iquique,Particular Subvencionado,Urbano,84,1,14,38,2,139,71
161,9,LICEO DE HUARA,Región de Tarapacá,Tamarugal,Huara,Municipal DAEM,Rural,91,2,4,6,,103,94
178,3,LICEO TECNICO PROFESIONAL COLCHANE,Región de Tarapacá,Tamarugal,Colchane,Municipal DAEM,Rural,45,,7,5,10,67,78
191,0,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,Región de Tarapacá,Tamarugal,Pozo Almonte,Corporación Municipal,Rural,513,13,58,128,22,734,80
199,6,LICEO DOMINGO LATRILLE LASTAUNOU,Región de Antofagasta,Tocopilla,Tocopilla,Municipal DAEM,Urbano,359,14,22,49,9,453,87
