ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_REGION_ESTABLE,DS_PROVINCIA_ESTABLE,DS_COMUNA_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD, PRIMERA_PRIORIDAD , SEGUNDA_PRIORIDAD , TERCERA_PRIORIDAD ,NO_PRIORIZADO_EN_VULNERABILIDAD ,SIN_INFORMACION ,TOTAL_MATRICULA_BASICA_2021,IVE_SINAE_BASICA
5,1,JOVINA NARANJO FERNANDEZ,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,145,3,30,51,1,230,77
8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,208,8,17,27,22,282,83
9,4,ESCUELA REPUBLICA DE ISRAEL,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,794,20,111,312,3,1.240,75
10,8,ESCUELA REPUBLICA DE FRANCIA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,124,4,11,25,29,193,72
11,6,ESC. GRAL. PEDRO LAGOS MARCHANT,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,272,1,14,9,9,305,94
12,4,ESCUELA GRAL JOSE MIGUEL CARRERA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,227,3,21,31,7,289,87
13,2,ESCUELA MANUEL RODRIGUEZ ERDOYZA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,200,2,9,15,14,240,88
14,0,ESCUELA ROMULO J. PENA MATURANA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,232,17,9,19,10,287,90
15,9,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,188,4,18,54,1,265,79
16,7,ESCUELA REGIMIENTO RANCAGUA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,178,10,9,25,18,240,82
17,5,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,287,11,18,33,17,366,86
18,3,ESC. COMTE. JUAN JOSE SAN MARTIN,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,246,7,9,21,8,291,90
19,1,ESC. HUMBERTO VALENZUELA GARCIA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,223,2,8,16,13,262,89
20,5,ESCUELA TUCAPEL,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,334,14,17,29,21,415,88
22,1,ESCUELA GABRIELA MISTRAL,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,657,18,49,66,3,793,91
25,6,COLEGIO CENTENARIO DE ARICA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,423,8,19,34,19,503,89
26,4,ESCUELA REPUBLICA DE ARGENTINA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,163,4,14,27,16,224,81
27,2,ESCUELA ESMERALDA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,186,3,8,48,32,277,71
28,0,ESCUELA RICARDO SILVA ARRIAGADA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,277,7,44,85,5,418,78
29,9,ESCUELA AMERICA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,309,18,13,66,79,485,70
31,0,ESCUELA DARIO SALAS DIAZ,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Rural,299,7,10,13,8,337,94
32,9,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Rural,457,10,10,28,8,513,93
33,7,ESCUELA CARLOS CONDELL DE LA HAZA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Rural,143,3,4,6,3,159,94
35,3,ESCUELA GRAL. MANUEL BAQUEDANO,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Rural,65,1,1,14,2,83,81
36,1,ESCUELA IGNACIO CARRERA PINTO,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Urbano,191,11,5,28,18,253,82
38,8,ESCUELA ESPAÑA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Rural,391,16,10,11,12,440,95
39,6,ESCUELA PAMPA ALGODONAL,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Rural,47,5,3,9,2,66,83
41,8,ESCUELA VALLE DE CHACA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Rural,32,7,2,3,1,45,91
42,6,ESCUELA MOLINOS LLUTA,Región de Arica y Parinacota,Arica,Arica,Servicio Local de Educación(SLE),Rural,18,,,4,,22,82
45,0,COLEGIO ITALIANO SANTA ANA,Región de Arica y Parinacota,Arica,Arica,Particular Subvencionado,Urbano,367,10,39,130,10,556,75
50,7,COLEGIO ADVENTISTA DE ARICA,Región de Arica y Parinacota,Arica,Arica,Particular Subvencionado,Urbano,244,11,27,78,,360,78
52,3,LICEO BICENTENARIO DOMINGO SANTA MARIA,Región de Arica y Parinacota,Arica,Arica,Particular Subvencionado,Urbano,1.351,28,162,301,59,1.901,81
56,6,COLEGIO SAN MARCOS DE ARICA,Región de Arica y Parinacota,Arica,Arica,Particular Subvencionado,Urbano,182,21,52,376,3,634,40
